,Job Title,Position,qualifications,qualification types,skills,Company,Locations,Contract Type,Job Type,Date
413,Business Analyst,Mid,,Bachelor's Degree,,Tracking Talent,Cape Town,"Permanent, Student job",Full Time,2022-07-05
414,Data Engineer,Mid,"computer science, engineering, information system",Bachelor's Degree,,Indsafri Services SA (Pty) Ltd,Johannesburg,Permanent,Full Time,2022-07-05
415,Business Analyst,Mid,"mathematics, computer science",Bachelor's Degree,,Communicate IT,Johannesburg,Permanent,Full Time,2022-07-05
416,,Mid,,Post Graduate,excel,Guardian Recruiting (Pty) Ltd.,Cape Town,Permanent,Full Time,2022-07-05
417,,manager, bcom,Bachelor's Degree,,Dynexity Pty Ltd,Johannesburg,Permanent,Full Time,2022-06-28
418,Data Engineer,Mid,"computer science, engineering",Bachelor's Degree,"sql, python, java",Psybergate (Pty) Ltd,Johannesburg,Permanent,Full Time,2022-07-06
419,Business Analyst,Mid,"computer science, information technology, information system",Bachelor's Degree,,Recru-IT,Johannesburg,Fixed Term,Full Time,2022-07-05
420,,Mid,"statistics, information technology",Bachelor's Degree,,Indsafri Services SA (Pty) Ltd,Johannesburg,Fixed Term,Full Time,2022-07-05
423,Data Engineer,Mid,,Bachelor's Degree,,eSmart Recruitment CC,Johannesburg,Permanent,Full Time,2022-07-05
425,,Mid,,Bachelor's Degree,,Rainmaker Acquisiton CC,Cape Town,Permanent,Full Time,2022-07-05
427,Data Engineer,Mid,"computer science, statistics, engineering, information technology",Post Graduate,"sql, python",E-Merge IT Recruitment,Johannesburg,Permanent,Full Time,2022-07-05
429,Actuarial Analyst,Mid,,Bachelor's Degree,,Moving Heads Personnel,Johannesburg,Permanent,Full Time,2022-07-05
